,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Fairbanks,64.84,-147.72,25.2,92,90,1.92
1,Wencheng,33.06,113.8,54.3,41,100,4.56
2,Macduff,57.67,-2.5,41.54,93,75,17.22
3,Tuatapere,-46.13,167.68,53.01,92,95,10.0
4,Vallenar,-28.57,-70.76,73.38,53,0,13.13
5,Ribeira Grande,38.52,-28.7,64.4,72,20,6.93
6,Rio das Ostras,-22.53,-41.95,86.0,66,0,16.11
7,Bhādra,29.12,75.17,65.64,49,67,8.55
8,San Andrés,12.58,-81.7,86.0,66,20,14.99
9,Kormista,40.98,24.05,45.46,70,40,19.46
10,Mataura,-46.19,168.86,53.01,92,68,10.0
11,Iquique,-20.22,-70.14,77.0,65,20,16.11
12,Kurumkan,54.3,110.3,19.92,88,69,2.42
13,Hermanus,-34.42,19.23,63.9,77,26,5.01
14,Challakere,14.32,76.65,77.34,49,67,16.33
15,Pangnirtung,66.15,-65.71,-20.2,61,75,2.77
16,Sabha,27.04,14.43,69.78,14,0,4.65
17,Kalawit,8.07,122.52,73.56,85,1,5.82
18,Butaritari,3.07,172.79,83.64,81,0,17.92
19,Pringsewu,-5.36,104.97,72.66,97,94,2.17
20,Punta Arenas,-53.15,-70.92,62.6,63,75,34.45
21,Cape Town,-33.93,18.42,64.38,68,20,29.97
22,Kirov,58.6,49.66,18.48,90,39,6.87
23,Albany,42.6,-73.97,42.4,17,1,8.05
24,Fortuna,40.6,-124.16,45.88,70,40,11.41
25,Clyde River,70.47,-68.59,-18.4,75,75,12.75
26,Chui,-33.7,-53.46,73.2,56,100,10.65
27,Flinders,-34.58,150.86,58.5,100,40,11.41
28,Afşin,38.25,36.91,44.4,93,100,9.15
29,Bambous Virieux,-20.34,57.76,76.55,83,40,9.86
30,Busselton,-33.65,115.33,61.7,73,42,9.8
31,Nardaran,40.56,50.01,46.4,87,75,11.41
32,Pacific Grove,36.62,-121.92,51.73,76,90,4.7
33,Honningsvåg,70.98,25.97,26.6,49,20,8.05
34,Dingle,11.0,122.67,71.4,86,18,9.31
35,Bluff,-46.6,168.33,53.01,92,76,10.0
36,Airai,-8.93,125.41,66.0,79,82,3.04
37,Krasnogorodsk,56.83,28.28,29.82,76,1,9.66
38,Port Alfred,-33.59,26.89,63.0,98,90,1.01
39,Rikitea,-23.12,-134.97,77.88,81,76,12.77
40,Kailua,21.4,-157.74,74.35,69,90,6.93
41,Safi,32.3,-9.24,59.88,71,99,7.9
42,Bathsheba,13.22,-59.52,82.4,69,75,10.29
43,Hurricane,37.18,-113.29,55.22,50,75,10.29
44,Provideniya,64.38,-173.3,25.68,98,100,5.23
45,Atuona,-9.8,-139.03,81.84,67,17,9.04
46,Vaini,-21.2,-175.2,77.0,94,90,6.93
47,Bud,39.45,-86.18,41.36,73,75,12.75
48,Saint-Philippe,-21.36,55.77,74.12,78,100,8.05
49,Necochea,-38.55,-58.74,66.65,63,0,8.01
50,Hobart,-42.88,147.33,49.35,71,90,1.12
51,Sørland,67.67,12.69,32.0,52,90,12.75
52,Faanui,-16.48,-151.75,82.56,77,4,13.94
53,Bundaberg,-24.85,152.35,71.31,60,90,14.99
54,Tura,25.52,90.22,66.72,69,52,2.21
55,Longyearbyen,78.22,15.64,-5.8,63,40,4.7
56,Jiwani,25.05,61.74,73.2,70,97,3.18
57,Aklavik,68.22,-135.01,6.22,55,20,9.17
58,Cururupu,-1.83,-44.87,79.5,94,99,2.68
